Yazoo Blues ,(Moten) 
White Lightning Blues ,(Moten) 
Muscle Shoals Blues ,(Thomas)
Midnight Mama ,(Morton)
Missouri Wobble ,(Moten) 
Missouri Wobble ,(Moten) 
Sugar ,(Pinkard) 
Dear Heart ,(Dent) 
The New Tulsa Blues ,(Moten)
Baby Dear  ,(Moten-Hayes)
Twelfth Street Rag ,(Bowman) 
Twelfth Street Rag ,(Bowman) 
Pass Out Lightly ,(Washington)
Pass Out Lightly ,(Washington)
Ding Dong Blues ,(Moten-Staton)
Ding Dong Blues ,(Moten-Staton) 
Moten Stomp ,(Moten-Hayes) 
,
,
Sidney Bechet with Clarence Williams 1923,
Wild Cat Blues ,(Williams-Wiley)
Kansas City Man Blues ,(Williams-Johnson) 
Blind Man Blues ,(Green-McLaurin)
Atlanta Blues ,(Handy-Alman)
Lady Luck Blues ,(Williams-Webber)
Kansas City Man Blues ,(Williams-Johnson)
Oh! Daddy Blues ,(Williams) 
I’ve Got The “Yes We Have No Bananas“Blues ,(Williams)
Irresistible Blues ,(Williams)
Jazzin‘ Babies Blues ,(Jones) 
‘Tain’t Nobody’s Bus’ness If I Do ,(Grainger-Robbins) 
New Orleans Hop Scop Blues ,(Thomas)
Oh! Daddy Blues ,(Russell-Herbert) 
Down On The Levee Blues ,(Williams-Johnson)
Lonesome Woman Blues ,(Williams-Crawford)
Graveyard Dream Blues ,(Cox)
A Green Gal Can’t Catch On ,(Williams-Martin)
If I Let You Get Away With It ,(Rose-Frost)
E Flat Blues ,(Morris-Williams)
Old Fashioned Love ,(Johnson-Mack)
Open Your Heart ,(Rose-Dixon) 
Shreveport Blues ,(Potter)
Old Fashioned Love ,(Johnson-Mack) 
House Rent Blues ,(De Koven-Thompson)
Mean Blues ,(Smythe-Gilham) 
,
,
Adrian Rollini Groups 1924-27,
Mean Blues ,(Smythe-Gilham) 
Say It With A Ukelele ,(Conrad) 
Doodle Doo Doo ,(Kassell-Stitzel) 
San ,(McPhail-Michels) 
Them Ramblin' Blues ,(Moore) 
Arkansas Blues ,(Lada-Williams) 
Copenhagen ,(Davis-Melrose) 
