solo_id,medium_title,band_name,leader_name,track_title,line_up,instrument,recording_year,performer_new,instrument_corrected
AQAKismTJI8knEdzTFbR0_gNHmbRH8eJ_0.01.43.093251-0.02.39.066040,,Bobby Lewis,Bobby Lewis,Laura,"Alejo Poveda (other), Arnie Roth (vln, other), Bobby Lewis (flg), Florentina Ramniceanu (vln), Jim Ryan (other, p), Paul Wertico (dr)",tp,1993,Bobby Lewis,flg
AQAKismTJI8knEdzTFbR0_gNHmbRH8eJ_0.02.39.066040-0.03.22.001360,,Bobby Lewis,Bobby Lewis,Laura,"Alejo Poveda (other), Arnie Roth (vln, other), Bobby Lewis (flg), Florentina Ramniceanu (vln), Jim Ryan (other, p), Paul Wertico (dr)",fl,1993,Don Shelton,
AQAKismTJI8knEdzTFbR0_gNHmbRH8eJ_0.05.02.075918-0.05.35.080408,,Bobby Lewis,Bobby Lewis,Laura,"Alejo Poveda (other), Arnie Roth (vln, other), Bobby Lewis (flg), Florentina Ramniceanu (vln), Jim Ryan (other, p), Paul Wertico (dr)",tp,1993,Bobby Lewis,flg
AQAKsok2JYsSLcPT4EevQ1SyFbEwPXga_0.01.23.046122-0.01.37.015229,,David Buchbinder,David Buchbinder,Lailadance,"Aleksandar Gajic (vln), Dafnis Prieto (dr), David Buchbinder (tp), Hilario Duran (p), John Gzowski (other), Quinsin Nachoff (other), Roberto Occhipinti (b)",cl,2007,Quinsin Nachoff,
AQAKy0wkhUvCRPBzhPJCLtCPJxpKPkJz_0.03.02.072653-0.04.05.038848,,Bob James,Bob James,Take me there,"Bob James (other, p), Chuck Loeb (g, other), Dave Mann (fl), David Charles (other), Will Lee (b)",ss,1999,Kim Waters,
AQAKzJYoSlqE6eCPPk-RXBmN6Bm-Dv_R_0.03.00.018684-0.03.49.009387,,Echoes of Swing,,Everything that was,"Bernd Lhotzky (other, p), Chris Hopkins (as), Colin Dawson (cor, tp), Henning Gailing (b), Milo Francel (g, other), Oliver Mewes (dr), Pete York (other, dr, voc), Shannon Barnett (voc, tb)",ts,2016,Chris Hopkins,as
AQALglJDSWrQHkn24JbQHSce8WAeK0hG_0.00.51.064117-0.02.10.096054,,Hank Mobley,Hank Mobley,"My groove, your move",Freddie Hubbard (tp),ts,1960,Hank Mobley,
AQALn3SUZJMSJbge_EKy5wrC5BPexA0u_0.02.02.099609-0.03.41.088988,Lester Young Vol. 13 1956-57,Lester Young Sextet,Lester Young,Flic,"Gene Ramey (b), Jo Jones (dr), Lester Young (ts), Teddy Wilson (p)",tb,1957,"Harry ""Sweets"" Edison ",tp
AQALn3SUZJMSJbge_EKy5wrC5BPexA0u_0.04.40.063346-0.04.45.007428,Lester Young Vol. 13 1956-57,Lester Young Sextet,Lester Young,Flic,"Gene Ramey (b), Jo Jones (dr), Lester Young (ts), Teddy Wilson (p)",tb,1957,"Harry ""Sweets"" Edison ",tp
AQALn3SUZJMSJbge_EKy5wrC5BPexA0u_0.04.49.056734-0.04.53.090367,Lester Young Vol. 13 1956-57,Lester Young Sextet,Lester Young,Flic,"Gene Ramey (b), Jo Jones (dr), Lester Young (ts), Teddy Wilson (p)",tb,1957,"Harry ""Sweets"" Edison ",tp
AQALn3SUZJMSJbge_EKy5wrC5BPexA0u_0.04.58.063183-0.05.03.030775,Lester Young Vol. 13 1956-57,Lester Young Sextet,Lester Young,Flic,"Gene Ramey (b), Jo Jones (dr), Lester Young (ts), Teddy Wilson (p)",tb,1957,"Harry ""Sweets"" Edison ",tp
AQALn3SUZJMSJbge_EKy5wrC5BPexA0u_0.05.07.095755-0.05.12.079020,Lester Young Vol. 13 1956-57,Lester Young Sextet,Lester Young,Flic,"Gene Ramey (b), Jo Jones (dr), Lester Young (ts), Teddy Wilson (p)",tb,1957,"Harry ""Sweets"" Edison ",tp
AQALn3SUZJMSJbge_EKy5wrC5BPexA0u_0.05.16.063020-0.05.22.011591,Lester Young Vol. 13 1956-57,Lester Young Sextet,Lester Young,Flic,"Gene Ramey (b), Jo Jones (dr), Lester Young (ts), Teddy Wilson (p)",tb,1957,"Harry ""Sweets"" Edison ",tp
AQALn3SUZJMSJbge_EKy5wrC5BPexA0u_0.05.26.032163-0.05.30.016163,Lester Young Vol. 13 1956-57,Lester Young Sextet,Lester Young,Flic,"Gene Ramey (b), Jo Jones (dr), Lester Young (ts), Teddy Wilson (p)",tb,1957,"Harry ""Sweets"" Edison ",tp
AQALslOcKLqSBH2EX8cfNM-H8DqSbRSP_0.01.36.032653-0.02.14.000816,,Maynard Ferguson,Maynard Ferguson,Statement,,ts,1962,Don Menza,
AQALslOcKLqSBH2EX8cfNM-H8DqSbRSP_0.03.44.000000-0.04.14.021206,,Maynard Ferguson,Maynard Ferguson,Statement,,as,1962,Lanny Morgan,
