Track,CD,Boxnumber,Title,Composer,Artist,Aufnahmeort,Aufnahmedatum,Besetzung,
,,,,,,,,,
,,,,,,,,,
Jazz Roads – Classic Jazz – 232093,,,,,,,,,
,,,,,,,,,
5,4,232093,Buddy's Habit ,(Nelson-Straight) ,King Oliver's Jazz Band,Chicago,25/10/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
6,4,232093,Tears ,(Armstrong-Hardin) ,King Oliver's Jazz Band,Chicago,25/10/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
7,4,232093,I Ain't Gonna Tell Nobody ,(Jones) ,King Oliver's Jazz Band,Chicago,25/10/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
8,4,232093,Room Rent Blues ,(Newton) ,King Oliver's Jazz Band,Chicago,25/10/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lil`Armstrong (p), Johnny St. Cyr (bj), Baby Dodds (d).",
9,4,232093,Riverside Blues ,(Dorsey-Jones) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
10,4,232093,Sweet Baby Doll ,(Thomas-Leroy),King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
11,4,232093,Working Man Blues ,(Oliver-Hardin) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
12,4,232093,Mabel's Dream ,(Smith) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
13,4,232093,Mabel's Dream ,(Smith) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
14,4,232093,Mabel's Dream ,(Smith) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
15,4,232093,The Southern Stomps ,(Jones) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
16,4,232093,The Southern Stomps ,(Jones) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
17,4,232093,Riverside Blues ,(Dorsey-Jones) ,King Oliver's Jazz Band,Chicago,26/10/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Charlie Jackson (bsx), Lillian Hardin (p), Baby Dodds (d).",
18,4,232093,King Porter ,(Morton) ,KING OLIVER /JELLY ROLL MORTON ,Chicago,"December, 1924","Joe 'King' Oliver (c), Jelly Roll Morton (p).",
19,4,232093,Tom Cat ,(Morton) ,KING OLIVER /JELLY ROLL MORTON ,Chicago,"December, 1924","Joe 'King' Oliver (c), Jelly Roll Morton (p).",
20,4,232093,Kiss Me Sweet ,(Louis-Piron) ,Butterbeans And Susie,New York,12/09/1924,"Butterbeans (Jodie Edwards), Susie (Edwards) (v), Joe 'King' Oliver (c), Clarence Williams (p).",
21,4,232093,Construction Gang ,(Edwards-Edwards) ,Butterbeans And Susie,New York,12/09/1924,"Butterbeans (Jodie Edwards), Susie (Edwards) (v), Joe 'King' Oliver (c), Clarence Williams (p).",
,,,,,,,,,
CD 5 ,,,Friars Society Orchestra,,,,,,
